Material,Power_W,Speed_mm_s,Hatch_um,Layer_um,Width_um,Depth_um,Length_um,CoolingRate_K_s,LOF_Risk,Keyhole_Ratio,DefectSize_um,FatigueLimit_MPa
Ti-6Al-4V,100,400,70,30,187.3,168.7,567.5,0,False,0.9006940736785903,40.0,355.7000044278334
Ti-6Al-4V,100,400,70,40,187.3,168.7,567.5,0,False,0.9006940736785903,40.0,355.7000044278334
Ti-6Al-4V,100,400,70,50,187.3,168.7,567.5,0,False,0.9006940736785903,40.0,355.7000044278334
Ti-6Al-4V,100,400,90,30,187.3,168.7,567.5,0,False,0.9006940736785903,40.0,355.7000044278334
Ti-6Al-4V,100,400,90,40,187.3,168.7,567.5,0,False,0.9006940736785903,40.0,355.7000044278334
Ti-6Al-4V,100,400,90,50,187.3,168.7,567.5,0,False,0.9006940736785903,40.0,355.7000044278334
Ti-6Al-4V,100,400,110,30,187.3,168.7,567.5,0,False,0.9006940736785903,40.0,355.7000044278334
Ti-6Al-4V,100,400,110,40,187.3,168.7,567.5,0,False,0.9006940736785903,40.0,355.7000044278334
Ti-6Al-4V,100,400,110,50,187.3,168.7,567.5,0,False,0.9006940736785903,40.0,355.7000044278334
Ti-6Al-4V,100,600,70,30,146.4,106.5,519.8,0,False,0.7274590163934426,40.0,355.7000044278334
Ti-6Al-4V,100,600,70,40,146.4,106.5,519.8,0,False,0.7274590163934426,40.0,355.7000044278334
Ti-6Al-4V,100,600,70,50,146.4,106.5,519.8,0,False,0.7274590163934426,40.0,355.7000044278334
Ti-6Al-4V,100,600,90,30,146.4,106.5,519.8,0,False,0.7274590163934426,40.0,355.7000044278334
Ti-6Al-4V,100,600,90,40,146.4,106.5,519.8,0,False,0.7274590163934426,40.0,355.7000044278334
Ti-6Al-4V,100,600,90,50,146.4,106.5,519.8,0,False,0.7274590163934426,40.0,355.7000044278334
Ti-6Al-4V,100,600,110,30,146.4,106.5,519.8,0,False,0.7274590163934426,40.0,355.7000044278334
Ti-6Al-4V,100,600,110,40,146.4,106.5,519.8,0,False,0.7274590163934426,40.0,355.7000044278334
Ti-6Al-4V,100,600,110,50,146.4,106.5,519.8,0,False,0.7274590163934426,40.0,355.7000044278334
Ti-6Al-4V,100,800,70,30,118.9,79.1,467.3,0,False,0.665264928511354,40.0,355.7000044278334
Ti-6Al-4V,100,800,70,40,118.9,79.1,467.3,0,False,0.665264928511354,40.0,355.7000044278334
Ti-6Al-4V,100,800,70,50,118.9,79.1,467.3,0,False,0.665264928511354,40.0,355.7000044278334
Ti-6Al-4V,100,800,90,30,118.9,79.1,467.3,0,False,0.665264928511354,40.0,355.7000044278334
Ti-6Al-4V,100,800,90,40,118.9,79.1,467.3,0,False,0.665264928511354,40.0,355.7000044278334
Ti-6Al-4V,100,800,90,50,118.9,79.1,467.3,0,False,0.665264928511354,40.0,355.7000044278334
Ti-6Al-4V,100,800,110,30,118.9,79.1,467.3,0,False,0.665264928511354,40.0,355.7000044278334
Ti-6Al-4V,100,800,110,40,118.9,79.1,467.3,0,True,0.665264928511354,40.0,355.7000044278334
Ti-6Al-4V,100,800,110,50,118.9,79.1,467.3,0,True,0.665264928511354,40.0,355.7000044278334
Ti-6Al-4V,100,1000,70,30,126.4,39.6,157.0,0,False,0.3132911392405063,5.0,503.035770398012
Ti-6Al-4V,100,1000,70,40,126.4,39.6,157.0,0,True,0.3132911392405063,5.0,503.035770398012
Ti-6Al-4V,100,1000,70,50,126.4,39.6,157.0,0,True,0.3132911392405063,5.0,503.035770398012
Ti-6Al-4V,100,1000,90,30,126.4,39.6,157.0,0,True,0.3132911392405063,5.0,503.035770398012
Ti-6Al-4V,100,1000,90,40,126.4,39.6,157.0,0,True,0.3132911392405063,5.0,503.035770398012
Ti-6Al-4V,100,1000,90,50,126.4,39.6,157.0,0,True,0.3132911392405063,5.0,503.035770398012
Ti-6Al-4V,100,1000,110,30,126.4,39.6,157.0,0,True,0.3132911392405063,5.0,503.035770398012
Ti-6Al-4V,100,1000,110,40,126.4,39.6,157.0,0,True,0.3132911392405063,5.0,503.035770398012
Ti-6Al-4V,100,1000,110,50,126.4,39.6,157.0,0,True,0.3132911392405063,5.0,503.035770398012
Ti-6Al-4V,100,1200,70,30,112.8,33.7,142.1,0,True,0.298758865248227,5.0,503.035770398012
Ti-6Al-4V,100,1200,70,40,112.8,33.7,142.1,0,True,0.298758865248227,5.0,503.035770398012
Ti-6Al-4V,100,1200,70,50,112.8,33.7,142.1,0,True,0.298758865248227,5.0,503.035770398012
Ti-6Al-4V,100,1200,90,30,112.8,33.7,142.1,0,True,0.298758865248227,5.0,503.035770398012
Ti-6Al-4V,100,1200,90,40,112.8,33.7,142.1,0,True,0.298758865248227,5.0,503.035770398012
Ti-6Al-4V,100,1200,90,50,112.8,33.7,142.1,0,True,0.298758865248227,5.0,503.035770398012
Ti-6Al-4V,100,1200,110,30,112.8,33.7,142.1,0,True,0.298758865248227,5.0,503.035770398012
Ti-6Al-4V,100,1200,110,40,112.8,33.7,142.1,0,True,0.298758865248227,5.0,503.035770398012
Ti-6Al-4V,100,1200,110,50,112.8,33.7,142.1,0,True,0.298758865248227,5.0,503.035770398012
Ti-6Al-4V,100,1400,70,30,102.0,29.3,130.2,0,True,0.2872549019607843,5.0,503.035770398012
Ti-6Al-4V,100,1400,70,40,102.0,29.3,130.2,0,True,0.2872549019607843,5.0,503.035770398012
Ti-6Al-4V,100,1400,70,50,102.0,29.3,130.2,0,True,0.2872549019607843,5.0,503.035770398012
Ti-6Al-4V,100,1400,90,30,102.0,29.3,130.2,0,True,0.2872549019607843,5.0,503.035770398012
Ti-6Al-4V,100,1400,90,40,102.0,29.3,130.2,0,True,0.2872549019607843,5.0,503.035770398012
Ti-6Al-4V,100,1400,90,50,102.0,29.3,130.2,0,True,0.2872549019607843,5.0,503.035770398012
Ti-6Al-4V,100,1400,110,30,102.0,29.3,130.2,0,True,0.2872549019607843,5.0,503.035770398012
Ti-6Al-4V,100,1400,110,40,102.0,29.3,130.2,0,True,0.2872549019607843,5.0,503.035770398012
Ti-6Al-4V,100,1400,110,50,102.0,29.3,130.2,0,True,0.2872549019607843,5.0,503.035770398012
Ti-6Al-4V,100,1600,70,30,93.1,25.9,120.4,0,True,0.2781954887218045,5.0,503.035770398012
Ti-6Al-4V,100,1600,70,40,93.1,25.9,120.4,0,True,0.2781954887218045,5.0,503.035770398012
Ti-6Al-4V,100,1600,70,50,93.1,25.9,120.4,0,True,0.2781954887218045,5.0,503.035770398012
Ti-6Al-4V,100,1600,90,30,93.1,25.9,120.4,0,True,0.2781954887218045,5.0,503.035770398012
Ti-6Al-4V,100,1600,90,40,93.1,25.9,120.4,0,True,0.2781954887218045,5.0,503.035770398012
Ti-6Al-4V,100,1600,90,50,93.1,25.9,120.4,0,True,0.2781954887218045,5.0,503.035770398012
Ti-6Al-4V,100,1600,110,30,93.1,25.9,120.4,0,True,0.2781954887218045,5.0,503.035770398012
Ti-6Al-4V,100,1600,110,40,93.1,25.9,120.4,0,True,0.2781954887218045,5.0,503.035770398012
Ti-6Al-4V,100,1600,110,50,93.1,25.9,120.4,0,True,0.2781954887218045,5.0,503.035770398012
Ti-6Al-4V,100,1800,70,30,88.7,21.1,115.5,0,True,0.237880496054115,5.0,503.035770398012
Ti-6Al-4V,100,1800,70,40,88.7,21.1,115.5,0,True,0.237880496054115,5.0,503.035770398012
Ti-6Al-4V,100,1800,70,50,88.7,21.1,115.5,0,True,0.237880496054115,5.0,503.035770398012
Ti-6Al-4V,100,1800,90,30,88.7,21.1,115.5,0,True,0.237880496054115,5.0,503.035770398012
Ti-6Al-4V,100,1800,90,40,88.7,21.1,115.5,0,True,0.237880496054115,5.0,503.035770398012
Ti-6Al-4V,100,1800,90,50,88.7,21.1,115.5,0,True,0.237880496054115,5.0,503.035770398012
Ti-6Al-4V,100,1800,110,30,88.7,21.1,115.5,0,True,0.237880496054115,5.0,503.035770398012
Ti-6Al-4V,100,1800,110,40,88.7,21.1,115.5,0,True,0.237880496054115,5.0,503.035770398012
Ti-6Al-4V,100,1800,110,50,88.7,21.1,115.5,0,True,0.237880496054115,5.0,503.035770398012
Ti-6Al-4V,100,2000,70,30,85.7,20.2,112.3,0,True,0.2357059509918319,5.0,503.035770398012
Ti-6Al-4V,100,2000,70,40,85.7,20.2,112.3,0,True,0.2357059509918319,5.0,503.035770398012
